[[0, 3], [1, 8], [2, 7], [4, 9], [5, 12], [6, 11], [10, 13]]
[[0, 3], [1, 8], [2, 7], [4, 11], [5, 10], [6, 13], [9, 12]]
[[0, 3], [1, 6], [2, 9], [4, 11], [5, 8], [7, 12], [10, 13]]
[[0, 3], [1, 8], [2, 7], [4, 11], [5, 12], [6, 9], [10, 13]]
[[0, 3], [1, 6], [2, 9], [4, 13], [5, 10], [7, 12], [8, 11]]
[[0, 3], [1, 8], [2, 9], [4, 13], [5, 10], [6, 11], [7, 12]]
[[0, 3], [1, 8], [2, 9], [4, 13], [5, 12], [6, 11], [7, 10]]
[[0, 3], [1, 8], [2, 9], [4, 11], [5, 10], [6, 13], [7, 12]]
[[0, 3], [1, 8], [2, 9], [4, 11], [5, 12], [6, 13], [7, 10]]
[[0, 3], [1, 6], [2, 9], [4, 11], [5, 10], [7, 12], [8, 13]]
[[0, 3], [1, 6], [2, 9], [4, 11], [5, 12], [7, 10], [8, 13]]
[[0, 3], [1, 6], [2, 11], [4, 9], [5, 10], [7, 12], [8, 13]]
[[0, 3], [1, 6], [2, 11], [4, 9], [5, 12], [7, 10], [8, 13]]
[[0, 5], [1, 10], [2, 7], [3, 12], [4, 9], [6, 11], [8, 13]]
[[0, 5], [1, 6], [2, 9], [3, 10], [4, 11], [7, 12], [8, 13]]
[[0, 5], [1, 6], [2, 11], [3, 10], [4, 9], [7, 12], [8, 13]]
[[0, 5], [1, 8], [2, 9], [3, 10], [4, 11], [6, 13], [7, 12]]
[[0, 5], [1, 8], [2, 11], [3, 10], [4, 9], [6, 13], [7, 12]]
[[0, 7], [1, 8], [2, 9], [3, 10], [4, 11], [5, 12], [6, 13]]
