[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 17], [9, 10], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 9], [11, 16], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 15], [7, 10], [8, 17], [9, 12], [11, 14], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 15], [9, 12], [11, 14], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 12], [8, 15], [10, 17], [11, 14], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 10], [8, 17], [9, 12], [11, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 12], [8, 17], [10, 15], [11, 14], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 13], [9, 12], [11, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 15], [7, 10], [8, 17], [9, 12], [11, 16], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 15], [9, 12], [11, 16], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 10], [8, 15], [9, 14], [12, 17], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 10], [8, 17], [9, 14], [12, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 11], [9, 14], [12, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 15], [7, 10], [8, 17], [9, 14], [11, 12], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 15], [9, 14], [11, 12], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 15], [9, 14], [10, 17], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 10], [8, 17], [9, 14], [11, 16], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 17], [9, 14], [10, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 13], [9, 14], [11, 16], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 15], [7, 10], [8, 17], [9, 14], [11, 16], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 15], [9, 14], [11, 16], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 11], [10, 15], [12, 17], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 10], [8, 13], [9, 16], [12, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 15], [10, 11], [12, 17], [13, 16]]
